id,title,manifest,db,tw_title
kyudai-R100000092_I000121619_00,産前産後切紙,https://catalog.lib.kyushu-u.ac.jp/image/manifest/1/820/4492559.json,kyudai,切紙
arc_books-NIJL_100444805,淨土述聞見聞並切紙,https://www.dh-jac.net/db1/books/NIJL-100444805/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100433788,御使者切紙出帳書抜,https://www.dh-jac.net/db1/books/NIJL-100433788/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100433778,御使者切紙出帳書抜,https://www.dh-jac.net/db1/books/NIJL-100433778/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100448973,百人一首五箇秘切紙,https://www.dh-jac.net/db1/books/NIJL-100448973/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100419843,古今和歌集伝授切紙,https://www.dh-jac.net/db1/books/NIJL-100419843/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100170609,古今伝授切紙口伝条々,https://www.dh-jac.net/db1/books/NIJL-100170609/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100178556,古今伝授切紙口伝条々,https://www.dh-jac.net/db1/books/NIJL-100178556/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100433789,御使者切紙出帳書抜,https://www.dh-jac.net/db1/books/NIJL-100433789/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100421797,古今伝授切紙口伝条々,https://www.dh-jac.net/db1/books/NIJL-100421797/portal/manifest.json,arc_books,切紙
arc_books-UCB_ms1488,正風遠州流挿華伝書切紙,https://www.dh-jac.net/db1/books/UCB-ms1488/portal/manifest.json,arc_books,切紙
keioobjecthub-11064,（島津忠朝書状）〔古今伝授祝賀〕,https://dcollections.lib.keio.ac.jp/sites/default/files/iiif/SGM/002-063/manifest.json,keioobjecthub,切紙
arc_books-NIJL_100421793,古今伝授切紙口伝条々,https://www.dh-jac.net/db1/books/NIJL-100421793/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100421792,古今伝授切紙口伝条々,https://www.dh-jac.net/db1/books/NIJL-100421792/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100421794,古今伝授切紙口伝条々,https://www.dh-jac.net/db1/books/NIJL-100421794/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100421795,古今伝授切紙口伝条々,https://www.dh-jac.net/db1/books/NIJL-100421795/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100376141,古今伝授切紙口伝条々,https://www.dh-jac.net/db1/books/NIJL-100376141/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100371224,西忍流六脉伝並切紙口伝,https://www.dh-jac.net/db1/books/NIJL-100371224/portal/manifest.json,arc_books,切紙
arc_books-bunko30_a0110,源氏物語三箇大事切紙,https://www.dh-jac.net/db1/books/bunko30_a0110/portal/manifest.json,arc_books,切紙
kyudai-R100000092_I000120350_00,醫學授幼鈔. 家傳切紙,https://catalog.lib.kyushu-u.ac.jp/image/manifest/1/820/4705561.json,kyudai,切紙
arc_books-he04_08080,古今口授切紙口伝条々,https://www.dh-jac.net/db1/books/he04_08080/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100423895,源氏物語三箇大事切紙,https://www.dh-jac.net/db1/books/NIJL-100423895/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100376164,古今伝授切紙口伝条々,https://www.dh-jac.net/db1/books/NIJL-100376164/portal/manifest.json,arc_books,切紙
kyudai-R100000092_I2324_7385457,古今集傳授切紙,https://catalog.lib.kyushu-u.ac.jp/image/manifest/1/820/7385457.json,kyudai,切紙
arc_books-NIJL_100421809,古今伝受之切紙／西三条家伝,https://www.dh-jac.net/db1/books/NIJL-100421809/portal/manifest.json,arc_books,切紙
